date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:25:47	212912/212912	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202024%2011:55:48%20GMT	https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?	C:/My%20Web%20Sites/traffic%20test/traffic.rta.ac/trfesrv/public_resources/my-ecertificatesd41d.html	(from )
17:25:48	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-6517c061-3f04bd;;;%22	https://traffic.rta.ac/robots.txt		(from )
17:25:48	463864/463864	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22713f8-65157b3d-384ff0;br%22	https://traffic.rta.ac/assets_new/recaptcha__en.js	C:/My%20Web%20Sites/traffic%20test/traffic.rta.ac/assets_new/recaptcha__en.js	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?)
17:25:48	11272/11272	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%222c08-65157b3e-38503c;br%22	https://traffic.rta.ac/assets_new/hotjar-1165416.js	C:/My%20Web%20Sites/traffic%20test/traffic.rta.ac/assets_new/hotjar-1165416.js	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?)
17:25:48	52916/52916	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22ceb4-65157b3e-385026;br%22	https://traffic.rta.ac/assets_new/analytics.js	C:/My%20Web%20Sites/traffic%20test/traffic.rta.ac/assets_new/analytics.js	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?)
17:25:49	249226/249226	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%223cd8a-65157b3e-385030;br%22	https://traffic.rta.ac/assets_new/gtm.js	C:/My%20Web%20Sites/traffic%20test/traffic.rta.ac/assets_new/gtm.js	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?)
17:25:49	62913/62913	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22f5c1-65157b3f-385038;br%22	https://traffic.rta.ac/assets_new/common.js	C:/My%20Web%20Sites/traffic%20test/traffic.rta.ac/assets_new/common.js	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?)
17:25:49	181251/181251	---MCZ	200	added ('OK')	text/css	etag:W/%222c403-65157b3f-385032;br%22	https://traffic.rta.ac/assets_new/style.css	C:/My%20Web%20Sites/traffic%20test/traffic.rta.ac/assets_new/style.css	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?)
17:25:49	93813/93813	---MCZ	200	added ('OK')	text/css	etag:W/%2216e75-65157b3f-385018;br%22	https://traffic.rta.ac/assets_new/default_header_old_pages.css	C:/My%20Web%20Sites/traffic%20test/traffic.rta.ac/assets_new/default_header_old_pages.css	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?)
17:25:50	21985/21985	---MCZ	200	added ('OK')	text/css	etag:W/%2255e1-65157b3f-384ff2;br%22	https://traffic.rta.ac/assets_new/plates.css	C:/My%20Web%20Sites/traffic%20test/traffic.rta.ac/assets_new/plates.css	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?)
17:25:50	18924/18924	---MCZ	200	added ('OK')	text/css	etag:W/%2249ec-65157b3f-385024;br%22	https://traffic.rta.ac/assets_new/vr.css	C:/My%20Web%20Sites/traffic%20test/traffic.rta.ac/assets_new/vr.css	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?)
17:25:50	22801/22801	---MCZ	200	added ('OK')	text/css	etag:W/%225911-65157b40-384fee;br%22	https://traffic.rta.ac/assets_new/default.responsive.css	C:/My%20Web%20Sites/traffic%20test/traffic.rta.ac/assets_new/default.responsive.css	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?)
17:25:50	1594/1594	---MCZ	200	added ('OK')	text/css	etag:W/%2263a-65157b40-385042;br%22	https://traffic.rta.ac/assets_new/fonts.css	C:/My%20Web%20Sites/traffic%20test/traffic.rta.ac/assets_new/fonts.css	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?)
17:25:50	57004/57004	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22deac-65157b40-385050;br%22	https://traffic.rta.ac/assets_new/jquery.js	C:/My%20Web%20Sites/traffic%20test/traffic.rta.ac/assets_new/jquery.js	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?)
17:25:51	95707/95707	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22175db-65157b40-384fe7;br%22	https://traffic.rta.ac/assets_new/jquery-1.11.1.min.js	C:/My%20Web%20Sites/traffic%20test/traffic.rta.ac/assets_new/jquery-1.11.1.min.js	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?)
17:25:51	3238/3238	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22ca6-65157b40-38504a;br%22	https://traffic.rta.ac/assets_new/jquery.cookie.js	C:/My%20Web%20Sites/traffic%20test/traffic.rta.ac/assets_new/jquery.cookie.js	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?)
17:25:51	7810/7810	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%221e82-65157b40-38504c;br%22	https://traffic.rta.ac/assets_new/main-old-pages.js	C:/My%20Web%20Sites/traffic%20test/traffic.rta.ac/assets_new/main-old-pages.js	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?)
17:25:51	10054/10054	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%222746-65157b40-385022;br%22	https://traffic.rta.ac/assets_new/ReadSpeaker.js	C:/My%20Web%20Sites/traffic%20test/traffic.rta.ac/assets_new/ReadSpeaker.js	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?)
17:25:52	20206/20206	---MCZ	200	added ('OK')	text/css	etag:W/%224eee-65157b40-385048;br%22	https://traffic.rta.ac/assets_new/ReadSpeaker.Styles.css	C:/My%20Web%20Sites/traffic%20test/traffic.rta.ac/assets_new/ReadSpeaker.Styles.css	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?)
17:25:52	25318/25318	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2262e6-65157b40-38501e;br%22	https://traffic.rta.ac/assets_new/ReadSpeaker.Core.js	C:/My%20Web%20Sites/traffic%20test/traffic.rta.ac/assets_new/ReadSpeaker.Core.js	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?)
